Counts_Standard_deviation,Counts_Standard_deviation.1,Counts_Standard_deviation.2,Counts_Standard_deviation.3,Counts_Standard_deviation.4,Counts_Standard_deviation.5,Counts_Standard_deviation.6,Counts_Standard_deviation.7,Counts_Standard_deviation.8,Counts_Standard_deviation.9,Counts_Standard_deviation.10,Counts_Standard_deviation.11,Counts_Standard_deviation.12,Counts_Standard_deviation.13,Counts_Standard_deviation.14,Counts_Standard_deviation.15,Counts_Standard_deviation.16,Counts_Standard_deviation.17,Counts_Standard_deviation.18,Counts_Standard_deviation.19,Counts_Standard_deviation.20,Counts_Standard_deviation.21,Counts_Standard_deviation.22,Counts_Standard_deviation
8.866380972845137,8.873679570290536,11.07822336318602,11.59800340848194,8.1968233380308,14.25855592136057,11.524322038332173,5.792059871575227,13.978695264664058,5.91528249906152,8.228289296729704,4.470487165993407,8.866380972845137,8.873679570290536,11.07822336318602,11.59800340848194,8.1968233380308,14.25855592136057,11.524322038332173,5.792059871575227,13.978695264664058,5.91528249906152,8.228289296729704,4.470487165993407
8.727236944169109,8.738095074419903,11.054303347851851,11.459042077633626,7.992124104051794,14.09118360241272,11.263510438064962,5.723823460131932,13.814999118639877,5.906193334043152,8.275794705759767,4.361156925133332,8.727236944169109,8.738095074419903,11.054303347851851,11.459042077633626,7.992124104051794,14.09118360241272,11.263510438064962,5.723823460131932,13.814999118639877,5.906193334043152,8.275794705759767,4.361156925133332
8.540323772173089,8.442177804318153,11.364473192462048,11.306290846691027,7.737064836688135,13.859318177246026,10.931009306110852,5.650057501160242,13.543717910148676,5.889977095808123,8.341728645249859,4.272383045016037,8.540323772173089,8.442177804318153,11.364473192462048,11.306290846691027,7.737064836688135,13.859318177246026,10.931009306110852,5.650057501160242,13.543717910148676,5.889977095808123,8.341728645249859,4.272383045016037
8.310466680136203,8.72823102092214,12.137621427501813,11.175048870415,7.447043794593816,13.557422367604888,10.53430837069656,5.578770286318628,13.218010020347672,5.847083574501983,8.413854590814957,4.215953545031238,8.310466680136203,8.72823102092214,12.137621427501813,11.175048870415,7.447043794593816,13.557422367604888,10.53430837069656,5.578770286318628,13.218010020347672,5.847083574501983,8.413854590814957,4.215953545031238
8.109588890320573,9.39998926240396,13.220583609659874,11.139467751578628,7.142471312899136,13.16802111690376,10.08826306975194,5.516620244109025,12.869701195366671,5.81630445163852,8.448506636095782,4.1782076548994365,8.109588890320573,9.39998926240396,13.220583609659874,11.139467751578628,7.142471312899136,13.16802111690376,10.08826306975194,5.516620244109025,12.869701195366671,5.81630445163852,8.448506636095782,4.1782076548994365
7.914988959480251,9.963095827714984,14.168817157837156,11.318103570124048,6.843613139872411,12.674319236288696,9.623692205137466,5.464121861561672,12.503689231592082,5.770018895029856,8.397870331455575,4.149809524572202,7.914988959480251,9.963095827714984,14.168817157837156,11.318103570124048,6.843613139872411,12.674319236288696,9.623692205137466,5.464121861561672,12.503689231592082,5.770018895029856,8.397870331455575,4.149809524572202
7.670611264759071,9.895556793008002,14.621985101469924,11.36365196002256,6.512791113440237,12.05868102868854,9.11282839361197,5.385348681702272,12.087394315094492,5.676262220738798,8.180401250922902,4.113803301122927,7.670611264759071,9.895556793008002,14.621985101469924,11.36365196002256,6.512791113440237,12.05868102868854,9.11282839361197,5.385348681702272,12.087394315094492,5.676262220738798,8.180401250922902,4.113803301122927
7.396371331075031,10.062603675956268,14.21649400389971,11.562249656992304,6.172094853940295,11.438282521585212,8.616235312306348,5.28299600114449,11.659206057883292,5.5250406989843714,7.851727025270927,4.072375281571912,7.396371331075031,10.062603675956268,14.21649400389971,11.562249656992304,6.172094853940295,11.438282521585212,8.616235312306348,5.28299600114449,11.659206057883292,5.5250406989843714,7.851727025270927,4.072375281571912
7.110025634485611,10.082284646122284,13.30484846040759,11.885550692858056,5.80593519009158,10.86861276925123,8.16935114434215,5.176304044875458,11.188433228115818,5.349035421557385,7.452777613974615,4.018428348408644,7.110025634485611,10.082284646122284,13.30484846040759,11.885550692858056,5.80593519009158,10.86861276925123,8.16935114434215,5.176304044875458,11.188433228115818,5.349035421557385,7.452777613974615,4.018428348408644
6.847809368207809,10.294641653883971,12.155192620643508,12.027610829505086,5.42840023311595,10.38907704351471,7.754042271233251,5.071083031156905,10.737076714862164,5.171680285824974,7.028249432991924,3.937330517884573,6.847809368207809,10.294641653883971,12.155192620643508,12.027610829505086,5.42840023311595,10.38907704351471,7.754042271233251,5.071083031156905,10.737076714862164,5.171680285824974,7.028249432991924,3.937330517884573
6.600770298925369,10.354778328005928,10.770569619601543,12.481691624678042,5.031674990838302,9.947499142645857,7.383658434418834,4.961070434788819,10.271854228610383,4.994678532983709,6.621675670743189,3.809538540457318,6.600770298925369,10.354778328005928,10.770569619601543,12.481691624678042,5.031674990838302,9.947499142645857,7.383658434418834,4.961070434788819,10.271854228610383,4.994678532983709,6.621675670743189,3.809538540457318
6.367546868283446,10.038286419492502,9.51924085005392,13.13572032785776,4.676650791227712,9.5337971886008,7.06960581638984,4.87624450686316,9.86213285189904,4.871782660831572,6.310559233816501,3.648864538164095,6.367546868283446,10.038286419492502,9.51924085005392,13.13572032785776,4.676650791227712,9.5337971886008,7.06960581638984,4.87624450686316,9.86213285189904,4.871782660831572,6.310559233816501,3.648864538164095
6.236826508312579,9.332262712245996,8.695280128721524,13.97981611968472,4.390557739659189,9.265889016722468,6.900273686080565,4.918717465201377,9.575838831563642,4.872798320342429,6.231080109244259,3.5057387085077925,6.236826508312579,9.332262712245996,8.695280128721524,13.97981611968472,4.390557739659189,9.265889016722468,6.900273686080565,4.918717465201377,9.575838831563642,4.872798320342429,6.231080109244259,3.5057387085077925
6.105197392744221,8.414245443311685,8.128460778740015,14.172806379851805,4.137330263113256,8.923616192343518,6.703465543315656,4.930795659098578,9.217985571608171,4.92951833358109,6.257855601740897,3.346985055838633,6.105197392744221,8.414245443311685,8.128460778740015,14.172806379851805,4.137330263113256,8.923616192343518,6.703465543315656,4.930795659098578,9.217985571608171,4.92951833358109,6.257855601740897,3.346985055838633
6.012172483742097,7.15391912389044,8.052817106331828,13.796954946777287,3.909243836633315,8.456421655252864,6.448975538905967,4.889026970323056,8.861358658539599,5.084025549512856,6.424098582329818,3.204779769896993,6.012172483742097,7.15391912389044,8.052817106331828,13.796954946777287,3.909243836633315,8.456421655252864,6.448975538905967,4.889026970323056,8.861358658539599,5.084025549512856,6.424098582329818,3.204779769896993
5.953035960953451,6.370596297676282,8.532202383809436,13.220514318331077,3.704302394065731,7.95491286309655,6.174463797617102,4.746099352475342,8.623362123193132,5.342167954661505,6.6191450183872185,3.098659279708757,5.953035960953451,6.370596297676282,8.532202383809436,13.220514318331077,3.704302394065731,7.95491286309655,6.174463797617102,4.746099352475342,8.623362123193132,5.342167954661505,6.6191450183872185,3.098659279708757
5.891230637569873,6.5609323222662335,8.76676220479785,12.86030565048237,3.4267352846575934,7.313407662919015,5.850053461109361,4.438981319092498,8.46312502119052,5.529987393299079,6.653200844982876,2.97871620063918,5.891230637569873,6.5609323222662335,8.76676220479785,12.86030565048237,3.4267352846575934,7.313407662919015,5.850053461109361,4.438981319092498,8.46312502119052,5.529987393299079,6.653200844982876,2.97871620063918
5.813723804286314,6.518063994430381,8.646933877576272,12.506610864120828,3.1226562442244226,6.664574332042592,5.51381820517684,4.058663224647663,8.180944854047354,5.554308838367362,6.424472434655814,2.854915166660036,5.813723804286314,6.518063994430381,8.646933877576272,12.506610864120828,3.1226562442244226,6.664574332042592,5.51381820517684,4.058663224647663,8.180944854047354,5.554308838367362,6.424472434655814,2.854915166660036
5.62512117383182,6.223329404558475,8.335164715326412,12.051547917958455,2.835747131126228,6.137488136751102,5.259911286270424,3.74931442384594,7.655620766299831,5.445850212468092,6.073333560813073,2.745686886280182,5.62512117383182,6.223329404558475,8.335164715326412,12.051547917958455,2.835747131126228,6.137488136751102,5.259911286270424,3.74931442384594,7.655620766299831,5.445850212468092,6.073333560813073,2.745686886280182
5.197887335519439,6.3739319723035655,8.058734270470342,11.55833755557286,2.6024407875696896,5.695945647613097,5.100730368958859,3.574302432815903,6.943408723617403,5.252962219079478,5.906288019579915,2.648206575015028,5.197887335519439,6.3739319723035655,8.058734270470342,11.55833755557286,2.6024407875696896,5.695945647613097,5.100730368958859,3.574302432815903,6.943408723617403,5.252962219079478,5.906288019579915,2.648206575015028
4.618662958411493,6.569341255627044,8.201255442399967,10.88842042406038,2.398403299653472,5.24668402100515,4.932602927088977,3.48402819262501,6.236361102581045,5.06200330965406,6.156963191209935,2.5253505505176714,4.618662958411493,6.569341255627044,8.201255442399967,10.88842042406038,2.398403299653472,5.24668402100515,4.932602927088977,3.48402819262501,6.236361102581045,5.06200330965406,6.156963191209935,2.5253505505176714
4.010461616500301,6.53233137556191,8.379927858035781,9.945150369971673,2.2108352601841625,4.931868786096092,4.744313477844974,3.427433007077683,5.52832337459237,4.841884442722281,6.375824013073192,2.3480139075677844,4.010461616500301,6.53233137556191,8.379927858035781,9.945150369971673,2.2108352601841625,4.931868786096092,4.744313477844974,3.427433007077683,5.52832337459237,4.841884442722281,6.375824013073192,2.3480139075677844
3.3807524637849213,5.77035258187463,7.680835300843444,8.795263468414419,2.042509262993937,4.694685695473733,4.538616885008062,3.3712478506748527,4.630576622901708,4.673290707016466,5.842096331775615,2.107984050170939,3.3807524637849213,5.77035258187463,7.680835300843444,8.795263468414419,2.042509262993937,4.694685695473733,4.538616885008062,3.3712478506748527,4.630576622901708,4.673290707016466,5.842096331775615,2.107984050170939
2.970886746684009,5.713390206449034,6.01351779939549,7.46427526328541,1.870368310929442,4.334266191537892,4.1894437077622015,3.321626635796522,4.098130002317044,4.632542365035711,4.964399717553737,1.9242781310845591,2.970886746684009,5.713390206449034,6.01351779939549,7.46427526328541,1.870368310929442,4.334266191537892,4.1894437077622015,3.321626635796522,4.098130002317044,4.632542365035711,4.964399717553737,1.9242781310845591
2.879162443361943,7.024171264644111,4.326536303807783,6.254411162332078,1.617944301835894,3.664877767537899,3.858016517685776,3.2144143966166463,4.08076248914418,4.243511100534046,4.306242745332948,1.7767578122183587,2.879162443361943,7.024171264644111,4.326536303807783,6.254411162332078,1.617944301835894,3.664877767537899,3.858016517685776,3.2144143966166463,4.08076248914418,4.243511100534046,4.306242745332948,1.7767578122183587
2.626321215454678,7.210421145697411,3.918027427165628,5.156870398527029,1.2960896032189544,3.0523058142917443,3.4288569622510345,2.817330078437412,3.5597867327997808,4.021754373031353,3.450841854781781,1.65132406689832,2.626321215454678,7.210421145697411,3.918027427165628,5.156870398527029,1.2960896032189544,3.0523058142917443,3.4288569622510345,2.817330078437412,3.5597867327997808,4.021754373031353,3.450841854781781,1.65132406689832
2.150243755335919,5.228157138198148,3.9604838657764985,3.424449160050277,1.1384792373430803,2.66608280482907,2.9292614786236086,2.472142340276553,2.997295883093208,4.292662296126815,2.6189214921192825,1.5578530588339392,2.150243755335919,5.228157138198148,3.9604838657764985,3.424449160050277,1.1384792373430803,2.66608280482907,2.9292614786236086,2.472142340276553,2.997295883093208,4.292662296126815,2.6189214921192825,1.5578530588339392
1.878618040442181,2.837403804815856,3.666240858045814,2.916207739939235,1.157004532346675,2.278185791402767,2.477235207909564,2.1131172728680303,2.4984055487245773,3.760694654335237,1.903067528482585,1.3866502191101953,1.878618040442181,2.837403804815856,3.666240858045814,2.916207739939235,1.157004532346675,2.278185791402767,2.477235207909564,2.1131172728680303,2.4984055487245773,3.760694654335237,1.903067528482585,1.3866502191101953
1.2561538935693075,2.9613242339003216,1.9059877479646228,2.2430223305780896,0.8813452905532148,1.4469840150749946,1.4766889984320213,1.473961726066738,1.4427143068648869,2.778178173878285,1.313074862633261,0.9944792088193252,1.2561538935693075,2.9613242339003216,1.9059877479646228,2.2430223305780896,0.8813452905532148,1.4469840150749946,1.4766889984320213,1.473961726066738,1.4427143068648869,2.778178173878285,1.313074862633261,0.9944792088193252
0.5542799149279838,1.1592716521924746,0.9822056762125456,0.9425590618260004,0.3432295914435134,0.6614052552231722,0.7101675710757367,0.6103532250034824,0.6952904459588848,1.086812754965346,0.6125396626550791,0.3959250234577789,0.5542799149279838,1.1592716521924746,0.9822056762125456,0.9425590618260004,0.3432295914435134,0.6614052552231722,0.7101675710757367,0.6103532250034824,0.6952904459588848,1.086812754965346,0.6125396626550791,0.3959250234577789
