Energy_Peak,Energy_Peak.1,Energy_Peak.2,Energy_Peak.3,Energy_Peak.4,Energy_Peak.5,Energy_Peak.6,Energy_Peak.7,Energy_Peak.8,Energy_Peak.9,Energy_Peak.10,Energy_Peak
158000000.0,45700000.0,80700000.0,106000000.0,12400000.0,56700000.0,268000000.0,78100000.0,75000000.0,53400000.0,72600000.0,104000000.0
34200000.0,25500000.0,40745000.0,43100000.0,222000.0,50200000.0,7070000.0,37700000.0,314000.0,1060000.0,31500000.0,27500000.0
33600000.0,135000.0,790000.0,34700000.0,1240000.0,65650000.0,2360000.0,2280000.0,607000.0,814333.3333333334,9760000.0,3940000.0
51000000.0,180000.0,1275000.0,2900000.0,3610000.0,81100000.0,65900000.0,190000000.0,292000.0,568666.6666666667,703000.0,61000000.0
46700000.0,225000.0,1760000.0,2710000.0,2220000.0,41140000.0,44306666.66666667,28600000.0,311000.0,323000.0,1820000.0,16800000.0
27400000.0,270000.0,243000.0,493000.0,4336666.666666666,1180000.0,22713333.333333336,144000.0,849000.0,1260000.0,10560000.0,26700000.0
26800000.0,315000.0,792000.0,7600000.0,6453333.333333333,37000.0,1120000.0,1330000.0,1160000.0,1202066.6666666667,19300000.0,23100000.0
15800000.0,360000.0,1341000.0,1980000.0,8570000.0,41300000.0,187000.0,10800000.0,704000.0,1144133.3333333333,63400.0,15000000.0
18800000.0,405000.0,1890000.0,27000000.0,4555000.0,20887500.0,286500.0,371000.0,248000.0,1086200.0,2030000.0,16600000.0
22200000.0,450000.0,13300.0,36000000.0,540000.0,475000.0,386000.0,162000.0,40574000.0,1028266.6666666666,546000.0,14700000.0
13800000.0,495000.0,299150.0,88200000.0,101000.0,118000000.0,485500.0,1840000.0,80900000.0,970333.3333333333,6670000.0,16700000.0
27800000.0,540000.0,585000.0,1540000.0,768000.0,366000.0,585000.0,4110000.0,630000.0,912400.0,229000.0,17200000.0
12000000.0,585000.0,9340.0,47200.0,49400.0,3630000.0,155000000.0,2040000.0,12400000.0,854466.6666666666,510000.0,20900000.0
1150000.0,630000.0,23800.0,99500000.0,48600.0,919000.0,125318000.0,1770000.0,12400000.0,796533.3333333333,469000.0,38200000.0
3160000.0,675000.0,79000.0,53845000.0,46100.0,549000.0,95636000.0,262000.0,2760000.0,738600.0,1990000.0,19500000.0
3590000.0,636818.1818181818,92142.85714285714,8190000.0,43600.0,1104500.0,65954000.0,5900000.0,569000.0,680666.6666666666,6750000.0,16100000.0
314000.0,598636.3636363636,105285.71428571428,53400000.0,41100.0,1660000.0,36272000.0,340000.0,909500.0,622733.3333333333,250000.0,14500000.0
1160000.0,560454.5454545454,118428.57142857142,91000000.0,43800.0,1010000.0,6590000.0,176000.0,1250000.0,564800.0,2130000.0,9900000.0
3940000.0,522272.7272727273,131571.42857142858,45708500.0,46500.0,1250000.0,10495000.0,280000.0,2320000.0,506866.6666666666,77500000.0,10600000.0
2560000.0,484090.90909090906,144714.2857142857,417000.0,49200.0,1490000.0,14400000.0,248000.0,484000.0,448933.33333333326,1160000.0,54700000.0
709000.0,445909.0909090909,157857.14285714284,72900000.0,61600.0,714000.0,429000.0,523000.0,3400.0,391000.0,570000.0,31600000.0
433000.0,407727.2727272727,171000.0,97900000.0,99200.0,132000.0,9914500.0,1520000.0,8600000.0,770500.0,73900.0,8780000.0
718000.0,369545.4545454545,231500.0,174000000.0,136800.0,999000.0,19400000.0,623000.0,8070000.0,1150000.0,4360000.0,7940000.0
414000.0,331363.63636363635,292000.0,69100.0,174400.0,2870000.0,19250000.0,718000.0,726000.0,1127166.6666666667,1190000.0,11500000.0
4410000.0,293181.8181818182,352500.0,124000000.0,212000.0,230000.0,19100000.0,133000.0,17400000.0,1104333.3333333333,1180000.0,8500000.0
5860000.0,255000.0,413000.0,8890000.0,914000.0,163000.0,314000.0,1780000.0,2750000.0,1081500.0,587000.0,11300000.0
214000.0,5170000.0,473500.0,9410000.0,166000.0,348000.0,797000.0,76400000.0,1750000.0,1058666.6666666667,566000.0,15200000.0
2890000.0,4914210.52631579,534000.0,28300000.0,181000.0,533000.0,61600.0,925000.0,845000.0,1035833.3333333334,283000.0,14800000.0
1250000.0,4658421.052631579,594500.0,1760000.0,1480000.0,718000.0,771000.0,654000.0,1610000.0,1013000.0,6110000.0,103000000.0
4920000.0,4402631.578947368,655000.0,160000000.0,89400000.0,6920000.0,368000.0,379000.0,587000.0,990166.6666666667,249000.0,12900000.0
3910000.0,4146842.1052631577,715500.0,3370000.0,348000.0,48700000.0,179000.0,744000.0,2970000.0,967333.3333333334,14400000.0,15000000.0
3490000.0,3891052.6315789474,776000.0,103000000.0,238000.0,1380000.0,154000.0,5870000.0,84100.0,944500.0,523000.0,20000000.0
5100000.0,3635263.157894737,1190000.0,244000000.0,25200.0,802000.0,104243.33333333334,518000.0,1510000.0,921666.6666666667,8940000.0,14600000.0
4090000.0,3379473.6842105263,1058922.2222222222,4630000.0,3370000.0,909000.0,54486.66666666667,26700000.0,475000.0,898833.3333333334,19900000.0,11600000.0
9330000.0,3123684.2105263155,927844.4444444444,38700000.0,5220000.0,120000.0,4730.0,2270000.0,2650000.0,876000.0,2090000.0,11600000.0
4860000.0,2867894.736842105,796766.6666666666,2750000.0,157000.0,162000000.0,1067365.0,428000.0,4200000.0,442150.0,102000.0,8960000.0
4340000.0,2612105.263157895,665688.8888888889,2590000.0,3970000.0,67200000.0,2130000.0,1290000.0,1100000.0,8300.0,1050000.0,10200000.0
9890000.0,2356315.789473684,534611.1111111111,70300000.0,5430000.0,64600000.0,1920833.3333333333,7220000.0,708000.0,1047470.0,706000.0,9270000.0
5020000.0,2100526.3157894737,403533.33333333326,109000000.0,7510000.0,70500000.0,1711666.6666666667,1710000.0,42800000.0,2086640.0,737000.0,43600000.0
1610000.0,1844736.842105263,272455.5555555555,147000000.0,10400000.0,8490000.0,1502500.0,1780000.0,87500.0,3125810.0,286000.0,6920000.0
2290000.0,1588947.3684210526,141377.77777777775,8350000.0,8560000.0,147000000.0,1293333.3333333335,75400000.0,38100000.0,4164980.0,94200.0,9360000.0
1940000.0,1333157.8947368418,10300.0,32600000.0,8490000.0,23200000.0,1084166.6666666667,2470000.0,1330000.0,5204150.0,793000.0,10700000.0
4850000.0,1077368.4210526317,35338.88888888889,62500000.0,13400000.0,48800000.0,875000.0,28100000.0,215000.0,6243320.0,124000.0,8600000.0
1150000.0,821578.9473684207,60377.77777777778,3240000.0,13700000.0,13800000.0,780500.0,2950000.0,528000.0,7282490.0,110000.0,9790000.0
891000.0,565789.4736842103,85416.66666666667,8840000.0,11600000.0,11000000.0,686000.0,73800000.0,121000.0,8321660.0,379000.0,9570000.0
1550000.0,310000.0,110455.55555555556,1370000.0,10600000.0,7040000.0,591500.0,5520000.0,363000.0,9360830.0,98000.0,7500000.0
1950000.0,290045.45454545453,135494.44444444444,3120000.0,42300000.0,2080000.0,497000.0,38400000.0,160000.0,10400000.0,55100000.0,7100000.0
7530000.0,270090.90909090906,160533.33333333334,3620000.0,9760000.0,496000.0,1560909.0909090908,14900000.0,674000.0,3590000.0,38400000.0,6920000.0
5670000.0,250136.36363636365,185572.22222222225,47600000.0,10100000.0,478000.0,2624818.1818181816,68000000.0,665000.0,2470000.0,65000.0,8360000.0
7300000.0,230181.8181818181,210611.11111111112,5400000.0,13400000.0,238000.0,3688727.272727273,2150000.0,377000.0,65600000.0,49000.0,7350000.0
980000.0,210227.2727272727,235650.0,2420000.0,11300000.0,10700000.0,4752636.363636363,56300000.0,1690000.0,32825150.0,293000.0,6870000.0
4930000.0,190272.7272727273,260688.8888888889,11000000.0,57100000.0,1270000.0,5816545.454545454,1210000.0,638000.0,50300.0,50600.0,6450000.0
2200000.0,170318.18181818182,285727.7777777778,5840000.0,13500000.0,902000.0,6880454.545454545,736000.0,520000.0,16136636.363636363,51400.0,7180000.0
929000.0,150363.63636363635,310766.6666666667,3830000.0,14400000.0,74100000.0,7944363.636363636,4430000.0,102000.0,32222972.727272727,187000.0,6690000.0
1380000.0,130409.09090909088,335805.5555555556,50500000.0,12900000.0,1310000.0,9008272.727272728,9815000.0,543000.0,48309309.09090909,999000.0,6330000.0
1690000.0,110454.54545454544,360844.4444444445,32400000.0,15200000.0,682000.0,10072181.818181816,15200000.0,102000.0,64395645.45454545,252000.0,5290000.0
668000.0,90500.0,385883.3333333334,3140000.0,17900000.0,1850000.0,11136090.909090908,10300000.0,86200.0,80481981.81818181,368000.0,6750000.0
711000.0,89853.94736842105,410922.2222222223,1980000.0,305000000.0,830000.0,12200000.0,12800000.0,537000.0,96568318.1818182,28200.0,4890000.0
1230000.0,89207.8947368421,435961.1111111111,89900000.0,67900000.0,1240000.0,10272666.666666666,6930000.0,86800.0,112654654.54545456,1760000.0,6740000.0
917000.0,88561.84210526316,461000.0,2220000.0,19400000.0,744000.0,8345333.333333334,4680000.0,346000.0,128740990.9090909,63400.0,5270000.0
7940000.0,87915.78947368421,428444.4444444445,85900000.0,17800000.0,3960000.0,6418000.0,7010000.0,133000.0,144827327.27272728,54000.0,5520000.0
4550000.0,87269.73684210527,395888.8888888889,5540000.0,16400000.0,2840000.0,4490666.666666667,840000.0,5150.0,160913663.63636363,30800.0,6830000.0
684000.0,86623.68421052632,363333.3333333334,2310000.0,16700000.0,1050000.0,2563333.333333334,1020000.0,14000.0,177000000.0,68500.0,5880000.0
740000.0,85977.63157894737,330777.7777777777,17300000.0,15200000.0,1200000.0,636000.0,14000000.0,50300.0,22700000.0,64400.0,5970000.0
804000.0,85331.57894736843,298222.22222222225,1270000.0,14500000.0,1390000.0,4150000.0,8580000.0,199000.0,12200000.0,98700.0,7340000.0
2210000.0,84685.52631578947,265666.6666666667,3700000.0,14300000.0,2250000.0,113000.0,12200000.0,198000.0,1700000.0,1660000.0,7450000.0
1070000.0,84039.47368421052,233111.11111111112,5870000.0,163000000.0,2350000.0,6530000.0,10700000.0,2530000.0,1592500.0,405000.0,6170000.0
2130000.0,83393.42105263157,200555.5555555556,8400000.0,161000000.0,4720000.0,180000.0,10500000.0,1805000.0,1485000.0,473000.0,6460000.0
1230000.0,82747.36842105263,168000.0,1300000.0,13700000.0,2340000.0,855000.0,10800000.0,1080000.0,1377500.0,173000.0,5770000.0
4120000.0,82101.31578947368,199000.0,279000.0,13600000.0,124000000.0,1530000.0,10200000.0,4460.0,1270000.0,2640000.0,5250000.0
9680000.0,81455.26315789473,244000.0,477000.0,14200000.0,2770000.0,11600000.0,10400000.0,56300.0,3535000.0,94000.0,5640000.0
3570000.0,80809.21052631579,289000.0,705000.0,13600000.0,3150000.0,8734500.0,10100000.0,123000.0,5800000.0,1060000.0,6700000.0
10100000.0,80163.15789473684,48400.0,16200000.0,13700000.0,3730000.0,5869000.0,12700000.0,114000.0,878000.0,382000.0,12700000.0
6460000.0,79517.1052631579,73000.0,3190000.0,14700000.0,149000000.0,3003500.0,16500000.0,258000.0,30658500.0,159000.0,5880000.0
939000.0,78871.05263157895,43500000.0,762000.0,13800000.0,5000000.0,138000.0,17100000.0,149000.0,60439000.0,3220000.0,5790000.0
965000.0,78225.0,64800.0,7170000.0,26800000.0,6880000.0,1574000.0,11500000.0,155000.0,90219500.0,273000.0,6900000.0
7950000.0,77578.94736842105,90533.33333333331,9190000.0,36600000.0,2920000.0,3010000.0,13000000.0,415000.0,120000000.0,92400.0,6230000.0
3910000.0,76932.8947368421,116266.66666666666,1210000.0,10200000.0,488000.0,194000.0,14400000.0,235000.0,73800000.0,127000.0,6770000.0
1290000.0,76286.84210526316,142000.0,21000000.0,179000000.0,446000.0,19900000.0,16700000.0,843000.0,911000.0,701000.0,8070000.0
2730000.0,75640.78947368421,6240.0,3660000.0,19200000.0,537000.0,3100000.0,13900000.0,148000.0,1625500.0,1800000.0,7860000.0
420000.0,74994.73684210527,45366.66666666666,11900000.0,6820000.0,377000.0,2022000.0,11800000.0,114000.0,2340000.0,11600000.0,7420000.0
491000.0,74348.68421052632,84493.33333333333,2980000.0,6700000.0,965000.0,944000.0,957000.0,103000.0,1474000.0,383000.0,7050000.0
255000.0,73702.63157894736,123620.0,497000.0,19900000.0,78400000.0,4129333.3333333335,8570000.0,110000.0,608000.0,11100000.0,6430000.0
952000.0,73056.57894736843,162746.66666666666,885000.0,7700000.0,1040000.0,7314666.666666667,28200000.0,101000.0,1110000.0,259000.0,7810000.0
1370000.0,72410.52631578947,201873.3333333333,484000.0,8510000.0,571000.0,10500000.0,1220000.0,82000.0,1880000.0,35800000.0,6690000.0
192000.0,71764.47368421053,241000.0,586000.0,27900000.0,183000.0,8827500.0,761000.0,75900.0,1055000.0,10400000.0,7690000.0
413000.0,71118.42105263157,218120.0,4830000.0,8130000.0,3150000.0,7155000.0,864000.0,72800.0,230000.0,7040000.0,7190000.0
674000.0,70472.36842105263,195240.0,749000.0,40900000.0,3510000.0,5482500.0,1070000.0,94200.0,16715000.0,52300.0,7290000.0
720000.0,69826.31578947368,172360.0,483000.0,8670000.0,2810000.0,3810000.0,5350000.0,87300.0,33200000.0,738000.0,7880000.0
239000.0,69180.26315789473,149480.0,397000.0,14500000.0,3450000.0,3053280.0,1010000.0,6050000.0,1070000.0,41200.0,7640000.0
246000.0,68534.21052631579,126600.0,18300000.0,11800000.0,3250000.0,2296560.0,3020000.0,311000.0,905400.0,36150.0,6670000.0
134000.0,67888.15789473684,103720.0,17000000.0,11700000.0,2580000.0,1539840.0,5140000.0,81700.0,740800.0,31100.0,6690000.0
64000.0,67242.1052631579,80840.0,773000.0,58300000.0,3520000.0,783120.0,1280000.0,960000.0,576200.0,28900.0,6410000.0
70500.0,66596.05263157895,57960.0,969000.0,10000000.0,155000000.0,26400.0,4160000.0,909000.0,411600.0,40600.0,6440000.0
442000.0,65950.0,35080.0,24200000.0,8770000.0,2070000.0,54833.33333333333,4560000.0,1170000.0,247000.0,52300.0,5650000.0
51700.0,65303.94736842105,12200.0,37500000.0,6910000.0,3440000.0,83266.66666666666,4090000.0,177000.0,582812.5,64000.0,6310000.0
51100.0,64657.89473684211,10663.333333333334,796000.0,5210000.0,51200000.0,111700.0,2340000.0,1040000.0,918625.0,380500.0,5660000.0
173000.0,64011.84210526316,9126.666666666666,10800000.0,4620000.0,2240000.0,140133.3333333333,1240000.0,233000.0,1254437.5,697000.0,5560000.0
207000.0,63365.78947368421,7590.0,,3730000.0,2180000.0,168566.66666666666,1410000.0,2390000.0,1590250.0,1013500.0,5790000.0
137000.0,62719.73684210527,6053.333333333333,,5990000.0,1570000.0,197000.0,1040000.0,819000.0,1926062.5,1330000.0,6250000.0
155000.0,62073.68421052631,4516.666666666666,,3900000.0,1030000.0,229500.0,1870000.0,1860000.0,2261875.0,930500.0,6530000.0
225000.0,61427.63157894737,2980.0,,68700000.0,1070000.0,262000.0,2020000.0,2140000.0,2597687.5,531000.0,6540000.0
169000.0,60781.57894736842,37320.0,,3660000.0,853000.0,2821333.333333333,1100000.0,2090000.0,2933500.0,404000.0,5850000.0
1850000.0,60135.52631578947,71660.0,,2990000.0,2260000.0,5380666.666666667,1440000.0,1820000.0,3269312.5,360000.0,5810000.0
204000.0,59489.47368421053,106000.0,,3490000.0,936000.0,7940000.0,1370000.0,1770000.0,3605125.0,316000.0,5220000.0
207000.0,58843.42105263157,606000.0,,19600000.0,21700000.0,748000.0,1550000.0,1690000.0,3940937.5,862000.0,4490000.0
25600.0,58197.36842105263,606166.6666666666,,3890000.0,4550000.0,804000.0,1770000.0,1410000.0,4276750.0,310000.0,5180000.0
124000.0,57551.31578947368,606333.3333333334,,3330000.0,2770000.0,1010000.0,11700000.0,2020000.0,4612562.5,1140000.0,102000000.0
149000.0,56905.26315789473,606500.0,,4340000.0,2000000.0,1016000.0,1120000.0,2000000.0,4948375.0,383000.0,6150000.0
890000.0,56259.21052631579,606666.6666666666,,88200000.0,1720000.0,1022000.0,1650000.0,576000.0,5284187.5,651000.0,4030000.0
192000.0,55613.15789473684,606833.3333333334,,5160000.0,1310000.0,1028000.0,1620000.0,1730000.0,5620000.0,495000.0,5720000.0
181000.0,54967.10526315789,607000.0,,5520000.0,1060000.0,1034000.0,1540000.0,470000.0,167000.0,114000000.0,5890000.0
33900.0,54321.05263157895,1100000.0,,11200000.0,55800000.0,1040000.0,970000.0,466000.0,3026222.222222222,140000000.0,5840000.0
36400.0,53675.0,27900000.0,,66800000.0,12900000.0,1046000.0,725000.0,427000.0,5885444.444444444,484000.0,4050000.0
39200.0,53028.94736842105,3500000.0,,4460000.0,937000.0,1052000.0,684000.0,256000.0,8744666.666666666,529000.0,3300000.0
37000.0,52382.89473684211,45500.0,,32800000.0,3280000.0,1058000.0,995000.0,255000.0,11603888.888888888,558000.0,2860000.0
226000.0,51736.84210526315,79500000.0,,35800000.0,505000.0,1064000.0,583000.0,265000.0,14463111.11111111,564000.0,4370000.0
248000.0,51090.789473684206,10800000.0,,12500000.0,75200000.0,1070000.0,854000.0,191000.0,17322333.333333332,577000.0,4860000.0
253000.0,50444.73684210526,14200.0,,12300000.0,73600000.0,1076000.0,1100000.0,205000.0,20181555.555555552,623000.0,4100000.0
1410000.0,49798.68421052631,322466.6666666667,,15000000.0,1790000.0,1082000.0,1250000.0,15100.0,23040777.777777776,105000.0,3920000.0
235000.0,49152.63157894737,630733.3333333334,,12600000.0,11000000.0,1088000.0,1130000.0,17000.0,25900000.0,710000.0,3880000.0
80600.0,48506.57894736842,939000.0,,13000000.0,310000.0,1094000.0,1230000.0,14100.0,13605000.0,635000.0,4140000.0
284000.0,47860.52631578947,758000.0,,54500000.0,21800000.0,1100000.0,1410000.0,23600.0,1310000.0,631000.0,5580000.0
283000.0,47214.47368421053,394050.0,,72800000.0,2450000.0,1106000.0,1590000.0,574000.0,80206666.66666667,741000.0,3390000.0
232000.0,46568.42105263158,30100.0,,13100000.0,1010000.0,1112000.0,1290000.0,426000.0,159103333.33333334,727000.0,2810000.0
198000.0,45922.36842105263,8230.0,,13300000.0,4900000.0,1118000.0,1360000.0,450000.0,238000000.0,732500.0,4670000.0
298000.0,45276.31578947368,12500.0,,45600000.0,78600000.0,1124000.0,1400000.0,514000.0,614000.0,738000.0,4670000.0
186000.0,44630.26315789473,41533.33333333333,,92800000.0,810000.0,1130000.0,2290000.0,464000.0,44800.0,691000.0,2960000.0
49500.0,43984.21052631579,70566.66666666666,,85600000.0,780000.0,1136000.0,1220000.0,467000.0,37400.0,736000.0,2880000.0
37700.0,43338.15789473684,99600.0,,111000000.0,965000.0,1142000.0,1680000.0,734000.0,973000.0,1920000.0,4460000.0
130000.0,42692.10526315789,2199666.6666666665,,123000000.0,98900000.0,1148000.0,1400000.0,1630000.0,39700.0,704000.0,5980000.0
311000.0,42046.05263157895,4299733.333333333,,20200000.0,1050000.0,1154000.0,2190000.0,406000.0,224000.0,710000.0,3490000.0
230000.0,41400.0,6399800.0,,,1140000.0,1160000.0,81400000.0,830000.0,358000.0,751000.0,3680000.0
100000.0,130200.0,8499866.666666666,,,984000.0,5148000.0,30700000.0,655000.0,676000.0,802000.0,9180000.0
235000.0,219000.0,10599933.333333332,,,15300000.0,9136000.0,3760000.0,188000.0,79800.0,807000.0,8610000.0
21800.0,968000.0,12700000.0,,,1460000.0,13124000.0,4470000.0,119250.0,59400.0,960000.0,3900000.0
22500.0,500900.0,24500000.0,,,1640000.0,17112000.0,5190000.0,50500.0,60200.0,2720000.0,8880000.0
70800.0,33800.0,18400750.0,,,1380000.0,21100000.0,4860000.0,304000.0,59600.0,854000.0,3880000.0
269000.0,31695.0,12301500.0,,,1400000.0,20269545.454545453,10100000.0,561000.0,74600.0,822000.0,4920000.0
